% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
4.021	1	1	403	2	1	14	1527	14	1527
4.022	1	1	403	3	1	14	1527	14	1527
4.023	1	1	403	4	1	14	1527	14	1527
4.03	1	1	404	1	1	0	0	14	1527
4.036	1	1	404	7	1	14	1527	14	1527
4.037	1	1	404	8	1	14	1527	14	1527
4.038	1	1	404	9	1	14	1527	14	1527
4.051	1	1	406	2	1	14	1527	14	1527
4.052	1	1	406	3	1	14	1527	14	1527
4.053	1	1	406	4	1	14	1527	14	1527
4.066	1	1	407	7	1	14	1527	14	1527
4.067	1	1	407	8	1	14	1527	14	1527
4.068	1	1	407	9	1	14	1527	14	1527
4.081	1	1	409	2	1	14	1527	14	1527
4.082	1	1	409	3	1	14	1527	14	1527
4.083	1	1	409	4	1	14	1527	14	1527
4.096	1	1	410	7	1	14	1527	14	1527
4.097	1	1	410	8	1	14	1527	14	1527
4.098	1	1	410	9	1	14	1527	14	1527
4.111	1	1	412	2	1	14	1527	14	1527
4.112	1	1	412	3	1	14	1527	14	1527
4.113	1	1	412	4	1	14	1527	14	1527
4.126	1	1	413	7	1	14	1527	14	1527
4.127	1	1	413	8	1	14	1527	14	1527
4.128	1	1	413	9	1	14	1527	14	1527
4.129	1	1	413	10	1	14	1527	14	1527
4.136	1	1	414	7	1	0	0	14	1527
4.141	1	1	415	2	1	14	1527	14	1527
4.142	1	1	415	3	1	14	1527	14	1527
4.143	1	1	415	4	1	14	1527	14	1527
4.144	1	1	415	5	1	14	1527	14	1527
4.151	1	1	416	2	1	0	0	14	1527
4.156	1	1	416	7	1	14	1527	14	1527
4.157	1	1	416	8	1	14	1527	14	1527
4.158	1	1	416	9	1	14	1527	14	1527
4.159	1	1	416	10	1	14	1527	14	1527
4.166	1	1	417	7	1	0	0	14	1527
4.171	1	1	418	2	1	14	1527	14	1527
4.172	1	1	418	3	1	14	1527	14	1527
4.173	1	1	418	4	1	14	1527	14	1527
4.174	1	1	418	5	1	14	1527	14	1527
4.181	1	1	419	2	1	0	0	14	1527
4.186	1	1	419	7	1	14	1527	14	1527
4.187	1	1	419	8	1	14	1527	14	1527
4.188	1	1	419	9	1	14	1527	14	1527
4.189	1	1	419	10	1	14	1527	14	1527
4.196	1	1	420	7	1	0	0	14	1527
4.201	1	1	421	2	1	14	1527	14	1527
4.202	1	1	421	3	1	14	1527	14	1527
4.203	1	1	421	4	1	14	1527	14	1527
4.204	1	1	421	5	1	14	1527	14	1527
4.211	1	1	422	2	1	0	0	14	1527
4.216	1	1	422	7	1	14	1527	14	1527
4.217	1	1	422	8	1	14	1527	14	1527
4.231	1	1	424	2	1	14	1527	14	1527
4.232	1	1	424	3	1	14	1527	14	1527
4.246	1	1	425	7	1	14	1527	14	1527
4.247	1	1	425	8	1	14	1527	14	1527
4.261	1	1	427	2	1	14	1527	14	1527
4.262	1	1	427	3	1	14	1527	14	1527
4.276	1	1	428	7	1	14	1527	14	1527
4.277	1	1	428	8	1	14	1527	14	1527
4.291	1	1	430	2	1	14	1527	14	1527
4.292	1	1	430	3	1	14	1527	14	1527
4.306	1	1	431	7	1	14	1527	14	1527
4.307	1	1	431	8	1	14	1527	14	1527
4.308	1	1	431	9	1	14	1527	14	1527
4.315	1	1	432	6	1	0	0	14	1527
4.321	1	1	433	2	1	14	1527	14	1527
4.322	1	1	433	3	1	14	1527	14	1527
4.336	1	1	434	7	1	14	1527	14	1527
4.337	1	1	434	8	1	14	1527	14	1527
4.338	1	1	434	9	1	14	1527	14	1527
4.345	1	1	435	6	1	0	0	14	1527
4.351	1	1	436	2	1	14	1527	14	1527
4.352	1	1	436	3	1	14	1527	14	1527
4.353	1	1	436	4	1	14	1527	14	1527
4.36	1	1	437	1	1	0	0	14	1527
4.366	1	1	437	7	1	14	1527	14	1527
4.367	1	1	437	8	1	14	1527	14	1527
4.368	1	1	437	9	1	14	1527	14	1527
4.381	1	1	439	2	1	14	1527	14	1527
4.382	1	1	439	3	1	14	1527	14	1527
