% time	cellId	IMSI	RNTI	sinrLinear
5.681	1	1	1	1.64215e+06
5.681	2	2	1	1.64215e+06
5.721	1	1	1	1.64215e+06
5.721	2	2	1	1.64215e+06
5.761	1	1	1	1.64215e+06
5.761	2	2	1	1.64215e+06
5.801	1	1	1	1.64215e+06
5.801	2	2	1	1.64215e+06
5.841	1	1	1	1.64215e+06
5.841	2	2	1	1.64215e+06
5.881	1	1	1	1.64215e+06
5.881	2	2	1	1.64215e+06
5.921	1	1	1	1.64215e+06
5.921	2	2	1	1.64215e+06
5.961	1	1	1	1.64215e+06
5.961	2	2	1	1.64215e+06
6.001	1	1	1	1.64215e+06
6.001	2	2	1	1.64215e+06
6.041	1	1	1	1.64215e+06
6.041	2	2	1	1.64215e+06
6.081	1	1	1	1.64215e+06
6.081	2	2	1	1.64215e+06
6.121	1	1	1	1.64215e+06
6.121	2	2	1	1.64215e+06
6.161	1	1	1	1.64215e+06
6.161	2	2	1	1.64215e+06
6.201	1	1	1	1.64215e+06
6.201	2	2	1	1.64215e+06
6.241	1	1	1	1.64215e+06
6.241	2	2	1	1.64215e+06
6.281	1	1	1	1.64215e+06
6.281	2	2	1	1.64215e+06
6.321	1	1	1	1.64215e+06
6.321	2	2	1	1.64215e+06
6.361	1	1	1	1.64215e+06
6.361	2	2	1	1.64215e+06
6.401	1	1	1	1.64215e+06
6.401	2	2	1	1.64215e+06
6.441	1	1	1	1.64215e+06
6.441	2	2	1	1.64215e+06
6.481	1	1	1	1.64215e+06
6.481	2	2	1	1.64215e+06
6.521	1	1	1	1.64215e+06
6.521	2	2	1	1.64215e+06
6.561	1	1	1	1.64215e+06
6.561	2	2	1	1.64215e+06
6.601	1	1	1	1.64215e+06
6.601	2	2	1	1.64215e+06
6.641	1	1	1	1.64215e+06
6.641	2	2	1	1.64215e+06
6.681	1	1	1	1.64215e+06
6.681	2	2	1	1.64215e+06
6.721	1	1	1	1.64215e+06
6.721	2	2	1	1.64215e+06
6.761	1	1	1	1.64215e+06
6.761	2	2	1	1.64215e+06
6.801	1	1	1	1.64215e+06
6.801	2	2	1	1.64215e+06
6.841	1	1	1	1.64215e+06
6.841	2	2	1	1.64215e+06
6.881	1	1	1	1.64215e+06
6.881	2	2	1	1.64215e+06
6.921	1	1	1	1.64215e+06
6.921	2	2	1	1.64215e+06
6.961	1	1	1	1.64215e+06
6.961	2	2	1	1.64215e+06
7.001	1	1	1	1.64215e+06
7.001	2	2	1	1.64215e+06
7.041	1	1	1	1.64215e+06
7.041	2	2	1	1.64215e+06
7.081	1	1	1	1.64215e+06
7.081	2	2	1	1.64215e+06
7.121	1	1	1	1.64215e+06
7.121	2	2	1	1.64215e+06
7.161	1	1	1	1.64215e+06
7.161	2	2	1	1.64215e+06
7.201	1	1	1	1.64215e+06
7.201	2	2	1	1.64215e+06
7.241	1	1	1	1.64215e+06
7.241	2	2	1	1.64215e+06
7.281	1	1	1	1.64215e+06
7.281	2	2	1	1.64215e+06
7.321	1	1	1	1.64215e+06
7.321	2	2	1	1.64215e+06
7.361	1	1	1	1.64215e+06
7.361	2	2	1	1.64215e+06
7.401	1	1	1	1.64215e+06
7.401	2	2	1	1.64215e+06
7.441	1	1	1	1.64215e+06
7.441	2	2	1	1.64215e+06
7.481	1	1	1	1.64215e+06
7.481	2	2	1	1.64215e+06
7.521	1	1	1	1.64215e+06
7.521	2	2	1	1.64215e+06
7.561	1	1	1	1.64215e+06
7.561	2	2	1	1.64215e+06
7.601	1	1	1	1.64215e+06
7.601	2	2	1	1.64215e+06
7.641	1	1	1	1.64215e+06
7.641	2	2	1	1.64215e+06
7.681	1	1	1	1.64215e+06
7.681	2	2	1	1.64215e+06
7.721	1	1	1	1.64215e+06
7.721	2	2	1	1.64215e+06
7.761	1	1	1	1.64215e+06
7.761	2	2	1	1.64215e+06
7.801	1	1	1	1.64215e+06
7.801	2	2	1	1.64215e+06
7.841	1	1	1	1.64215e+06
7.841	2	2	1	1.64215e+06
7.881	1	1	1	1.64215e+06
7.881	2	2	1	1.64215e+06
7.921	1	1	1	1.64215e+06
7.921	2	2	1	1.64215e+06
7.961	1	1	1	1.64215e+06
7.961	2	2	1	1.64215e+06
8.001	1	1	1	1.64215e+06
8.001	2	2	1	1.64215e+06
8.041	1	1	1	1.64215e+06
8.041	2	2	1	1.64215e+06
8.081	1	1	1	1.64215e+06
8.081	2	2	1	1.64215e+06
8.121	1	1	1	1.64215e+06
8.121	2	2	1	1.64215e+06
8.161	1	1	1	1.64215e+06
8.161	2	2	1	1.64215e+06
8.201	1	1	1	1.64215e+06
8.201	2	2	1	1.64215e+06
8.241	1	1	1	1.64215e+06
8.241	2	2	1	1.64215e+06
8.281	1	1	1	1.64215e+06
8.281	2	2	1	1.64215e+06
8.321	1	1	1	1.64215e+06
8.321	2	2	1	1.64215e+06
8.361	1	1	1	1.64215e+06
8.361	2	2	1	1.64215e+06
8.401	1	1	1	1.64215e+06
8.401	2	2	1	1.64215e+06
8.441	1	1	1	1.64215e+06
8.441	2	2	1	1.64215e+06
8.481	1	1	1	1.64215e+06
8.481	2	2	1	1.64215e+06
8.521	1	1	1	1.64215e+06
8.521	2	2	1	1.64215e+06
8.561	1	1	1	1.64215e+06
8.561	2	2	1	1.64215e+06
8.601	1	1	1	1.64215e+06
8.601	2	2	1	1.64215e+06
8.641	1	1	1	1.64215e+06
8.641	2	2	1	1.64215e+06
8.681	1	1	1	1.64215e+06
8.681	2	2	1	1.64215e+06
8.721	1	1	1	1.64215e+06
8.721	2	2	1	1.64215e+06
8.761	1	1	1	1.64215e+06
8.761	2	2	1	1.64215e+06
8.801	1	1	1	1.64215e+06
8.801	2	2	1	1.64215e+06
8.841	1	1	1	1.64215e+06
8.841	2	2	1	1.64215e+06
8.881	1	1	1	1.64215e+06
8.881	2	2	1	1.64215e+06
8.921	1	1	1	1.64215e+06
8.921	2	2	1	1.64215e+06
8.961	1	1	1	1.64215e+06
8.961	2	2	1	1.64215e+06
9.001	1	1	1	1.64215e+06
9.001	2	2	1	1.64215e+06
9.041	1	1	1	1.64215e+06
9.041	2	2	1	1.64215e+06
9.081	1	1	1	1.64215e+06
9.081	2	2	1	1.64215e+06
9.121	1	1	1	1.64215e+06
9.121	2	2	1	1.64215e+06
9.161	1	1	1	1.64215e+06
9.161	2	2	1	1.64215e+06
9.201	1	1	1	1.64215e+06
9.201	2	2	1	1.64215e+06
9.241	1	1	1	1.64215e+06
9.241	2	2	1	1.64215e+06
9.281	1	1	1	1.64215e+06
9.281	2	2	1	1.64215e+06
9.321	1	1	1	1.64215e+06
9.321	2	2	1	1.64215e+06
9.361	1	1	1	1.64215e+06
9.361	2	2	1	1.64215e+06
9.401	1	1	1	1.64215e+06
9.401	2	2	1	1.64215e+06
9.441	1	1	1	1.64215e+06
9.441	2	2	1	1.64215e+06
9.481	1	1	1	1.64215e+06
9.481	2	2	1	1.64215e+06
9.521	1	1	1	1.64215e+06
9.521	2	2	1	1.64215e+06
9.561	1	1	1	1.64215e+06
9.561	2	2	1	1.64215e+06
9.601	1	1	1	1.64215e+06
9.601	2	2	1	1.64215e+06
9.641	1	1	1	1.64215e+06
9.641	2	2	1	1.64215e+06
9.681	1	1	1	1.64215e+06
9.681	2	2	1	1.64215e+06
9.721	1	1	1	1.64215e+06
9.721	2	2	1	1.64215e+06
9.761	1	1	1	1.64215e+06
9.761	2	2	1	1.64215e+06
9.801	1	1	1	1.64215e+06
9.801	2	2	1	1.64215e+06
9.841	1	1	1	1.64215e+06
9.841	2	2	1	1.64215e+06
9.881	1	1	1	1.64215e+06
9.881	2	2	1	1.64215e+06
9.921	1	1	1	1.64215e+06
9.921	2	2	1	1.64215e+06
9.961	1	1	1	1.64215e+06
9.961	2	2	1	1.64215e+06
